#
# The g8b run table. This is in a format which can be handled by TExpTable (a root class by K.Livingston).
#
# It is "extensible". If you want to add a column of your own please do so.
# The variable name must have no spaces in it, and the type must be %d, %f or %s.
# There MUST be a corresponding entry in every row.
#
# To generate the header for this, run the script table2header like this:
# Defined variables in header file: allruns.h
#
# The header defines c variables with an RT_ prefix for each variable name.
# eg. int RT_Run; for "Run", etc.
#
#You need to include this in your analysis code
#Something like this
#
#//----------------------------------- myanalysis.C -----------------------------------------
##include "allruns.h"
#...
#...
#...
#class TExpTable *expTable;
#...
#...
#char **filelist[]={"clas_47848.A00.root","clas_47849.A02.root",.....,NULL};
#...
#myanalysis(){
#  char *file;
#  int fcounter=0,run;
#  expTable = new TExpTable("dat/allruns.dat",RunTableVariables); //create a table object
#  ...
#  ...
#  while((file=filelist[fcounter++])!=NULL){                      //loop over all files
#    sscanf(strchr(file,'_')+1,"%d",&run);                        //get run number from filename
#    expTable->GetAllForValue(run,"Run");                         //update all variables for this run
#
#    if(RT_Radiat==AMO) myAmoFileRoutine();                       //do something based on a RT variable
#  }
#}
#
#
#//------------------------------------------------------------------------------------------
Variables: Run AmoRun S_Date   S_Time  File    Event  Time  Target  LiveF   LiveC   Beam    I   Torus Mini ec_hi ec_lo cc_hi FcupA   Radiat  Good 	Edge Comment
Row:     48071 48073 05-07-20    06:10   28 19798313  171  H2_full  0.00     0.88   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48072 48073 05-07-20    13:42   29 20157013  106  H2_full  0.00     0.86   4558   12.0   1928   0   28   28   50        1  DSWAPL2    G	1.7  -
Row:     48073 48073 05-07-20    15:37   25 20104971  140  H2_full  1.00     0.93   4558    8.0   1928   0   28   28   50        2    AMOL2    G	1.7  -
Row:     48074 48073 05-07-20    18:01   29 20145524  109  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48075 48073 05-07-20    19:54   29 20194717  105  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48076 48073 05-07-20    21:43   29 20267991  105  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48077 48077 05-07-20    23:35   26 20085674  121  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.7  -
Row:     48078 48077 05-07-21    01:52    4  2587465   76  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48080 48077 05-07-21    03:43   29 20022457  122  H2_full  0.67     0.90   4558   12.0   1928   0   28   28   50        6  DSWAPL2    G	1.7  -
Row:     48081 48077 05-07-21    05:48   30 21584499  109  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48082 48077 05-07-21    07:39   29 20447400  106  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.7  -
Row:     48083 48083 05-07-21    09:35   23 18262206  132  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0    AMOL2    G	1.7  -
Row:     48087 48083 05-07-21    13:56    6 10690305   21  H2_full  0.00     0.09   4558    0.1   1928   0   28   28   50        0     DTAC    G	1.7  -
Row:     48088 48083 05-07-21    14:28    5  2978083  121  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48089 48083 05-07-21    16:40   21 14763769   108  H2_full 0.00     0.91   4558   12.0   1928   0   28   28   50        1  DSWAPL2    G	1.9  -
Row:     48090 48083 05-07-21    18:48   28 20073160  133  H2_full  1.00     0.90   4558   12.0   1928   0   28   28   50       12  DSWAPL2    G	1.9  -
Row:     48091 48083 05-07-21    21:06   28 20086298  115  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48092 48092 05-07-21    23:13   26 20019412  145  H2_full  0.50     0.93   4558   12.0   1928   0   28   28   50       16    AMOL2    G	1.9  -
Row:     48093 48092 05-07-22    01:49   30 21487719  140  H2_full  0.91     0.91   4558   12.0   1928   0   28   28   50       11  DSWAPL2    G	1.9  -
Row:     48095 48092 05-07-22    04:28   29 20082229  115  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48096 48092 05-07-22    06:25   29 20088809  109  H2_full  0.00     0.89   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48097 48097 05-07-22    08:19   26 20052336  137  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48098 48097 05-07-22    10:41   28 20081779  120  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48099 48097 05-07-22    13:17   28 20050193  130  H2_full  1.00     0.91   4558   12.0   1928   0   28   28   50       12  DSWAPL2    G	1.9  -
Row:     48100 48097 05-07-22    15:34   28 20036940  142  H2_full  0.89     0.91   4558   12.0   1928   0   28   28   50       36  DSWAPL2    G	1.9  -
Row:     48101 48101 05-07-22    18:09   26 20174441  130  H2_full  0.94     0.93   4558    8.0   1928   0   28   28   50       49    AMOL2    G	1.9  -
Row:     48102 48101 05-07-22    20:32   28 19415464  121  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48103 48101 05-07-22    22:42   28 20037025  117  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48104 48101 05-07-23    00:42   11  7711158   69  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48105 48101 05-07-23    02:04   20 13654259   91  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48106 48106 05-07-23    03:40   26 20136614  129  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48107 48106 05-07-23    05:56   31 21726921  127  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48108 48106 05-07-23    08:07   32 22740399  132  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48109 48106 05-07-23    10:22   12  8490974   56  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48110 48106 05-07-23    15:16   15 10054358   55  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48111 48111 05-07-23    16:18    6  4678627   44  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48112 48112 05-07-23    17:18   12  9290934   86  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48113 48112 05-07-23    19:03    1      176    1  H2_full  0.00     0.00   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48114 48112 05-07-23    21:25    9  7111013   48  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48115 48112 05-07-23    22:25   29 20161236  113  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48119 48112 05-07-24    22:37    1   634525    5  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48120 48112 05-07-24    22:53   33 23069440  139  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48125 48112 05-07-25    06:44   26 20018110  139  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48126 48112 05-07-25    06:44   26 20018110  139  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48128 48112 05-07-25    21:13   29 20284157  171  H2_full  0.91     0.92   4558    8.0   1928   0   28   28   50      751  DSWAPL2    G	1.9  -
Row:     48129 48112 05-07-26    00:08    8  5382401   46  H2_full  0.92     0.93   4558   12.0   1928   0   28   28   50      166  DSWAPL2    G	1.9  -
Row:     48131 48112 05-07-26    19:17   28 20056630  146  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48132 48112 05-07-26    21:51   12  8196600   49  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48133 48133 05-07-26    23:57   26 20045185  127  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48134 48133 05-07-27    02:13   28 19476195  169  H2_full  0.00     0.94   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48135 48133 05-07-27    05:09   29 20237840  173  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48137 48133 05-07-27    08:13   33 22995922  132  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48138 48138 05-07-27    10:30   26 19972240  188  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48139 48138 05-07-27    13:44   10  6750331   69  H2_full  0.00     0.00   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48143 48138 05-07-27    16:11   18 12363862   97  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48145 48138 05-07-27    21:41   13  9052049  109  H2_full  0.93     0.93   4558   12.0   1928   0   28   28   50      125  DSWAPL2    G	1.9  -
Row:     48146 48138 05-07-28    02:58   28 20333334  123  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48147 48147 05-07-28    05:09   26 20378174  138  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48148 48147 05-07-28    07:50   28 20147484  231  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48149 48147 05-07-28    11:45   28 20451960  114  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48150 48147 05-07-28    13:44   32 23254355  130  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48151 48151 05-07-28    15:59   26 20019956  128  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48152 48151 05-07-28    18:13   29 20224774  111  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48153 48151 05-07-28    20:08   29 20029799  107  H2_full  0.00     0.91   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48154 48151 05-07-28    21:58   29 20145153  107  H2_full  0.00     0.90   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48155 48155 05-07-28    23:53   26 20033256  145  H2_full  0.67     0.93   4558    8.0   1928   0   28   28   50        3    AMOL2    G	1.9  -
Row:     48156 48155 05-07-29    02:24   18 12880798  222  H2_full  0.93     0.94   4558   12.0   1928   0   28   28   50       45  DSWAPL2    G	1.9  -
Row:     48157 48155 05-07-29    07:25   28 20241570  117  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48158 48155 05-07-29    09:26   31 22152340  127  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48159 48155 05-07-29    11:36   28 20064828  108  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48160 48160 05-07-29    13:32   25 20027386  134  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48163 48160 05-07-29    16:06   28 20013631  117  H2_full  0.00     0.93   4558    0.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48165 48160 05-07-29    18:25   28 20129698  113  H2_full  0.00     0.93   4558    0.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48166 48160 05-07-29    20:24   27 19998895  124  H2_full  0.89     0.93   4558    0.0   1928   0   28   28   50        9  DSWAPL2    G	1.9  -
Row:     48167 48160 05-07-29    22:41   25 20527235  141  H2_full  0.00     0.93   4558    0.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48168 48160 05-07-30    01:09   27 20022503  121  H2_full  0.00     0.89   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48171 48160 05-07-30    05:33   29 20652447  136  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48172 48160 05-07-30    07:56   21 15245822  102  H2_full  0.00     0.83   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48176 48160 05-07-30    10:21   29 20045291  116  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48177 48177 05-07-30    12:22   25 20015731  127  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48178 48177 05-07-30    14:35    7  5056862   38  H2_full  0.00     0.93   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48179 48177 05-07-30    15:26   28 20091122  112  H2_full  0.91     0.92   4558   12.0   1928   0   28   28   50       11  DSWAPL2    G	1.9  -
Row:     48181 48177 05-07-30    18:25   28 19997564  111  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48182 48177 05-07-30    20:19   28 19974990  114  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48183 48184 05-07-30    22:27    7  5389286   66  H2_full  0.00     0.94   4558    7.6   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48184 48184 05-07-31    00:05   26 20985637  151  H2_full  1.00     0.93   4558    8.0   1928   0   28   28   50       10    AMOL2    G	1.9  -
Row:     48185 48184 05-07-31    02:42   29 20530130  121  H2_full  0.92     0.92   4558   12.0   1928   0   28   28   50       13  DSWAPL2    G	1.9  -
Row:     48186 48184 05-07-31    04:46   29 20380489  114  H2_full  0.88     0.92   4558   12.0   1928   0   28   28   50       16  DSWAPL2    G	1.9  -
Row:     48187 48184 05-07-31    06:43   28 20162265  111  H2_full  0.82     0.92   4558   12.0   1928   0   28   28   50       22  DSWAPL2    G	1.9  -
Row:     48188 48188 05-07-31    08:45   26 20070913  125  H2_full  0.92     0.93   4558    8.0   1928   0   28   28   50      742    AMOL2    G	1.9  -
Row:     48189 48188 05-07-31    10:56   28 20078506  109  H2_full  0.67     0.92   4558   12.0   1928   0   28   28   50        3  DSWAPL2    G	1.9  -
Row:     48190 48188 05-07-31    12:48   28 20018534  108  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48191 48188 05-07-31    14:38   14  9451510   54  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48192 48188 05-07-31    15:41   28 20009607  107  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48193 48193 05-07-31    17:34   25 20021119  126  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48194 48193 05-07-31    19:54   29 20323090  110  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48195 48193 05-07-31    21:50   28 20022182  110  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48196 48193 05-07-31    23:44   28 20192292  111  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48197 48197 05-08-01    01:43   25 20047067  139  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.9  -
Row:     48198 48197 05-08-01    04:07   29 20278652  109  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48199 48197 05-08-01    05:59   29 20864125  115  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48200 48197 05-08-01    07:57   35 25097754  136  H2_full  0.00     0.92   4558   12.0   1928   0   28   28   50        0  DSWAPL2    G	1.9  -
Row:     48201 48197 05-08-01    10:23    5 10381758   20  H2_full  0.00     0.07   4558    0.1   1928   0   28   28   50       34     DTAC    G	1.9  -
Row:     48208 48197 05-08-01    13:17   25 20040494   96  H2_full  0.00     0.91   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48209 48197 05-08-01    15:01   25 20038987  109  H2_full  0.00     0.85   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48210 48197 05-08-01    16:54   25 20016442  107  H2_full  0.00     0.92   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48211 48211 05-08-01    21:17   27 20883265  107  H2_full  0.00     0.91   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48212 48211 05-08-01    21:17   27 20883265  107  H2_full  0.00     0.91   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48213 48211 05-08-01    23:28   26 20285957   99  H2_full  0.00     0.92   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48214 48211 05-08-02    01:15   26 20392211  119  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48215 48215 05-08-02    03:45    4  2796917   59  H2_full  0.00     0.95   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48216 48216 05-08-02    04:52    6  4527892   38  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48217 48217 05-08-02    05:41   21 16690658  107  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48218 48217 05-08-02    07:39   26 20338111   97  H2_full  0.00     0.91   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48219 48217 05-08-02    10:27    6  4509678   32  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48220 48217 05-08-02    11:31   16 12792082   69  H2_full  0.00     0.92   4558    8.0   1928   0   28   28   50        0  DSWAPL2    G	1.3  -
Row:     48224 48217 05-08-02    17:56   23 16519782  129  H2_full  0.00     0.89   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48226 48217 05-08-02    20:39   27 19919778  101  H2_full  0.00     0.91   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48227 48217 05-08-02    22:25   31 22547704  102  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48228 48217 05-08-03    00:10   27 20028933   85  H2_full  0.00     0.87   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48229 48217 05-08-03    01:38   27 20025460  100  H2_full  0.00     0.90   4558   10.0   1928   0   28   28   50        1  DPARAL2    G	1.3  -
Row:     48230 48217 05-08-03    03:21   33 24733150  104  H2_full  0.00     0.87   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48231 48217 05-08-03    05:08   28 20963828   92  H2_full  0.00     0.88   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48232 48217 05-08-03    06:46   22 16034813   88  H2_full  0.00     0.88   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48235 48217 05-08-03    08:47   29 21374362   96  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48236 48217 05-08-03    10:26   17 12394676   57  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48237 48237 05-08-03    11:35   24 19965807  151  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48238 48238 05-08-03    14:11   24 19868822  152  H2_full  1.00     0.94   4558    8.0   1928   0   28   28   50        2    AMOL2    G	1.3  -
Row:     48239 48238 05-08-03    16:52   10  8243258   61  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48240 48238 05-08-03    19:25   30 22033341   97  H2_full  0.00     0.88   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48241 48238 05-08-03    21:05    9  6733528   40  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48245 48238 05-08-03    22:24   27 20031441   89  H2_full  0.00     0.88   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48246 48238 05-08-03    23:56   28 20495824  101  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48247 48238 05-08-04    01:40   28 20456036  100  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48248 48238 05-08-04    03:23   30 22198962  103  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48249 48238 05-08-04    05:08   27 20205095   98  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48250 48238 05-08-04    06:48   28 20632682  119  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48251 48238 05-08-04    08:50   20 14868584   72  H2_full  0.00     0.89   4558   10.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48252 48252 05-08-04    12:21   27 21809429  140  H2_full  0.00     0.93   4558   10.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48253 48253 05-08-04    14:45   26 20226223  132  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48254 48254 05-08-04    17:01   18 14216808   87  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48255 48254 05-08-04    19:00   13  9303029   41  H2_full  0.00     0.88   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48256 48254 05-08-04    20:21   28 20959738   87  H2_full  0.00     0.85   4558   10.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48257 48254 05-08-04    21:55   27 21485393  120  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48258 48254 05-08-04    23:59   26 20545084  111  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48259 48254 05-08-05    01:53   25 19675596  103  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48260 48254 05-08-05    03:39   10  8012385   81  H2_full  0.00     0.84   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48261 48254 05-08-05    04:46   27 21053358  120  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48262 48254 05-08-05    06:48   23 17801567   98  H2_full  0.00     0.92   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48265 48265 05-08-05    09:14   23 19787941  217  H2_full  0.00     0.95   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48266 48265 05-08-05    12:54    6  4419546   32  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48268 48265 05-08-06    01:35   25 20000064  112  H2_full  0.91     0.92   4558    8.0   1928   0   28   28   50       11  DPERPL2    G	1.3  -
Row:     48270 48265 05-08-06    04:11   26 20010083  102  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48271 48265 05-08-06    06:00   25 19981086  107  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48272 48265 05-08-06    07:50   25 20033262  105  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48273 48265 05-08-06    09:46   26 20663352  115  H2_full  0.89     0.93   4558    8.0   1928   0   28   28   50        9  DPERPL2    G	1.3  -
Row:     48274 48265 05-08-06    11:52   12  9211531   48  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48276 48265 05-08-06    13:26   26 20361285  118  H2_full  0.93     0.93   4558    8.0   1928   0   28   28   50      201  DPERPL2    G	1.3  -
Row:     48277 48265 05-08-06    15:28    6  4344318   23  H2_full  1.00     0.93   4558    8.0   1928   0   28   28   50       10  DPERPL2    G	1.3  -
Row:     48278 48265 05-08-06    16:04   26 20150015  175  H2_full  0.96     0.93   4558    8.0   1928   0   28   28   50       25  DPARAL2    G	1.3  -
Row:     48279 48265 05-08-06    19:05   26 20743559  115  H2_full  1.00     0.93   4558    8.0   1928   0   28   28   50        2  DPARAL2    G	1.3  -
Row:     48280 48265 05-08-06    21:08   27 21198852  111  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48281 48265 05-08-06    23:17   27 20742453  116  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48282 48265 05-08-07    01:20   26 20410335  108  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48283 48265 05-08-07    03:11   26 20613746  105  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48284 48265 05-08-07    04:59   26 20142085  103  H2_full  0.00     0.92   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48285 48265 05-08-07    06:44   26 20408087  108  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48286 48265 05-08-07    08:35   26 20023149  104  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPARAL2    G	1.3  -
Row:     48287 48287 05-08-07    10:24   24 20268499  157  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48290 48290 05-08-07    13:22   24 20019421  149  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0    AMOL2    G	1.3  -
Row:     48291 48290 05-08-07    15:57   25 20776357  156  H2_full  0.00     0.94   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48292 48290 05-08-07    18:41   27 21346738  141  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48293 48290 05-08-07    21:07   27 20933536  111  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48294 48290 05-08-07    23:04   29 22679067  119  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
Row:     48295 48290 05-08-08    01:07   26 20021056  111  H2_full  0.00     0.93   4558    8.0   1928   0   28   28   50        0  DPERPL2    G	1.3  -
